roster,driver,era,basis,starts,wins,poles,podiums,championships,avg_finish_est,dnf_total_est,dnf_crash_error_est,dnf_mechanical_est,style,notes,counts_conf,dnf_conf
NASCAR-modern,Denny Hamlin,2005-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",747,64,52,262,0,13.0,61,30,31,"cerebral short-track and Pocono master, clutch aggressor",Most wins without a title; record 8 Pocono wins,H,M
NASCAR-modern,Kyle Busch,2004-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",762,63,35,254,2,14.3,86,45,41,"blindingly fast, fiery, all-or-nothing","Titles 2015, 2019",H,M
NASCAR-modern,Joey Logano,2008-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",641,39,34,179,3,14.4,60,35,25,"aggressive, uncompromising playoff closer","Titles 2018, 2022, 2024; youngest-ever Cup winner",H,M
NASCAR-modern,Brad Keselowski,2008-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",619,36,18,163,1,14.6,55,32,23,aggressive superspeedway savant,2012 champion; record 6 Talladega wins among active drivers,H,M
NASCAR-modern,Martin Truex Jr.,2004-2024,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",694,34,25,147,1,15.3,76,40,36,"calm, dominant long-run pace",2017 champion; full-time career ended 2024,H,M
NASCAR-modern,Kyle Larson,2013-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",428,32,22,143,2,14.2,59,35,24,"generational car control, rides the wall","Titles 2021, 2025; elite dirt racer",H,M
NASCAR-modern,Chase Elliott,2015-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",384,23,12,121,1,13.0,37,22,15,"consistent, calm road-course specialist",2020 champion,H,M
NASCAR-modern,Ryan Blaney,2014-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",404,20,16,102,1,15.0,53,33,20,"smooth, superspeedway-savvy, laid-back",2023 champion,H,M
NASCAR-modern,William Byron,2017-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",314,16,16,69,0,15.2,41,25,16,"smooth, analytical sim-racer",3 Daytona wins,H,M
NASCAR-modern,Christopher Bell,2020-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",242,13,15,70,0,14.5,31,20,11,"dirt-bred, precise, smooth",,H,M
NASCAR-modern,Tyler Reddick,2019-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",244,13,16,56,0,15.2,26,17,9,"rides the wall, aggressive, versatile",Won 5 of the first 9 races of 2026,H,M
NASCAR-modern,Ross Chastain,2017-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",285,6,3,39,0,19.3,33,22,11,"ultra-aggressive, wall-riding daredevil",Famous 2022 Martinsville wall-ride move,H,M
NASCAR-modern,Chase Briscoe,2021-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",206,6,9,38,0,17.4,23,15,8,"gritty, dirt-bred",,H,M
NASCAR-modern,Chris Buescher,2015-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",391,6,1,32,0,18.1,34,20,14,"steady, clean, underrated",,H,M
NASCAR-modern,Alex Bowman,2014-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",383,8,7,49,0,19.3,48,28,20,"steady, streaky",,H,M
NASCAR-modern,Bubba Wallace,2014-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",317,3,3,32,0,19.4,46,30,16,"superspeedway-strong, streaky",,H,M
NASCAR-modern,Shane van Gisbergen,2023-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",76,8,6,12,0,20.0,8,5,3,"road-course genius, still learning ovals",All Cup wins on road/street courses; won on debut; 3x Supercars champion,H,M
NASCAR-modern,Ty Gibbs,2022-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",149,2,3,27,0,17.4,22,15,7,"aggressive, fiery young talent",,H,M
NASCAR-modern,Carson Hocevar,2023-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",107,1,3,8,0,19.6,15,11,4,"ultra-aggressive, contact-prone",First win Talladega 2026,H,M
NASCAR-modern,Austin Cindric,2021-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",177,3,1,14,0,19.4,20,13,7,"measured, road-course capable",2022 Daytona 500 winner,H,M
NASCAR-modern,Ricky Stenhouse Jr.,2011-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",498,4,3,29,0,20.8,69,50,19,"superspeedway specialist, wreck-prone",2 Talladega and a Daytona 500 win; textbook high-Risk archetype,H,M
NASCAR-modern,Austin Dillon,2011-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",470,6,6,24,0,18.8,53,35,18,"aggressive, controversial last-lap moves",2018 Daytona 500 winner,H,M
NASCAR-modern,A.J. Allmendinger,2007-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",508,3,5,23,0,20.8,60,30,30,fiery road-course ace,Ex-Champ Car winner,H,M
NASCAR-modern,Michael McDowell,2008-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",563,2,8,17,0,26.0,155,45,110,superspeedway and road-course underdog,DNF count inflated by early start-and-park years,H,M
NASCAR-modern,Ryan Preece,2019-,"NASCAR Cup career; podiums = top-5s; avg finish and DNF (races minus running-at-finish) from Racing-Reference, Sept 2026",249,1,2,8,0,21.2,38,25,13,"short-track Modified ace, gritty",,H,M
NASCAR-classic,Richard Petty,1958-1992,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,1184,200,123,,7,,,,,"The King, relentless, durable, dominant",712 top-10s; 10 straight wins in 1967,H,
NASCAR-classic,David Pearson,1960-1986,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,574,105,113,,3,,,,,"patient, calculating Silver Fox closer",Starts derived from sourced 18.3% win rate; record 10 Darlington wins,H,
NASCAR-classic,Jeff Gordon,1992-2016,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,805,93,81,,4,,,,,"smooth, versatile, road and plate master",5 Brickyard wins; 5 Sonoma wins,H,
NASCAR-classic,Bobby Allison,1961-1988,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,718,85,59,,1,,,,,"hard-nosed, fearless brawler",Record 6 Riverside wins,H,
NASCAR-classic,Darrell Waltrip,1972-2000,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,809,84,59,,3,,,,,"brash, cunning short-track master",Record 12 Bristol wins,H,
NASCAR-classic,Jimmie Johnson,2001-,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,701,83,36,,7,,,,,"clinical, relentless playoff closer",5 straight titles 2006-10; record 11 Dover wins; full-time Cup career ended 2020,H,
NASCAR-classic,Cale Yarborough,1957-1988,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,560,83,69,,3,,,,,"tough, fearless hard-charger",3 straight titles 1976-78,M,
NASCAR-classic,Dale Earnhardt,1975-2001,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,676,76,22,,7,,,,,"The Intimidator, bump-and-run, draft genius","Record 10 Talladega wins; low pole rate, huge race craft",H,
NASCAR-classic,Kevin Harvick,2001-2023,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,826,60,31,,1,,,,,"The Closer, late-race charger",Record 9 Phoenix wins,H,
NASCAR-classic,Rusty Wallace,1980-2005,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,706,55,36,,1,,,,,aggressive short-track racer,,H,
NASCAR-classic,Tony Stewart,1999-2016,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,618,49,15,,3,,,,,"fiery, versatile dirt-to-IndyCar talent",5 Watkins Glen wins,H,
NASCAR-classic,Bill Elliott,1976-2012,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,828,44,55,,1,,,,,"superspeedway speed demon, Awesome Bill","Fastest lap in NASCAR history, 212.809 mph (Talladega 1987)",H,
NASCAR-classic,Mark Martin,1981-2013,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,882,40,56,,0,,,,,"consistent, clean, perennial runner-up",61 second-place finishes,H,
NASCAR-classic,Matt Kenseth,1998-2020,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,697,39,20,,1,,,,,"consistent, calculating",,H,
NASCAR-classic,Kurt Busch,2000-2022,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,776,34,28,,1,,,,,"fast, volatile, versatile",2004 champion,H,
NASCAR-classic,Dale Jarrett,1984-2008,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,668,32,16,,1,,,,,"smooth, consistent superspeedway racer",3x Daytona 500,H,
NASCAR-classic,Carl Edwards,2004-2016,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,445,28,22,,0,,,,,"athletic, intense, aggressive",,M,
NASCAR-classic,Dale Earnhardt Jr.,1999-2017,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,631,26,15,,0,,,,,"superspeedway ace, drafting master",,H,
NASCAR-classic,Terry Labonte,1978-2014,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,890,22,27,,2,,,,,"steady Iceman, durable",361 top-10s,H,
NASCAR-classic,Ricky Rudd,1975-2007,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,906,23,29,,0,,,,,"tough, durable iron man",374 top-10s; 788 consecutive starts,H,
