roster,driver,era,basis,starts,wins,poles,podiums,championships,avg_finish_est,dnf_total_est,dnf_crash_error_est,dnf_mechanical_est,style,notes,counts_conf,dnf_conf
F1-classic,Rubens Barrichello,1993-2011,F1 World Championship career,322,11,14,68,0,,97,20,77,"smooth, loyal team player, strong in the wet",DNF total sourced (Jalopnik; includes DSQs),H,M
F1-classic,Ralf Schumacher,1997-2007,F1 World Championship career,180,6,6,27,0,,60,18,42,"fast on his day, inconsistent",,H,L
F1-classic,Giancarlo Fisichella,1996-2009,F1 World Championship career,229,3,4,19,0,,74,15,59,"naturally quick, underachiever",DNF total sourced (Jalopnik; includes DSQs),H,M
F1-classic,Jarno Trulli,1997-2011,F1 World Championship career,252,1,4,11,0,,90,15,75,"qualifying specialist, defensive train-leader",Monaco 2004 win from pole; DNF total sourced (Jalopnik; includes DSQs),H,M
F1-classic,Eddie Irvine,1993-2002,F1 World Championship career,145,4,0,26,0,,55,15,40,"combative, confident, opportunistic",1999 title runner-up,H,L
F1-classic,Heinz-Harald Frentzen,1994-2003,F1 World Championship career,156,3,2,18,0,,60,12,48,"gifted, smooth, inconsistent",1999 title contender with Jordan,H,L
F1-classic,Johnny Herbert,1989-2000,F1 World Championship career,160,3,0,7,0,,78,16,62,"cheerful opportunist, wins in chaos",DNF total sourced (Jalopnik; includes DSQs),H,M
F1-classic,Nick Heidfeld,2000-2011,F1 World Championship career,183,0,1,13,0,,45,10,35,"tidy, consistent, never flashy",Record 13 podiums without a win,H,L
F1-classic,Heikki Kovalainen,2007-2013,F1 World Championship career,111,1,1,4,0,,25,8,17,"steady, unspectacular",Hungary 2008 win,H,L
F1-classic,Romain Grosjean,"2009, 2012-2020",F1 World Championship career,179,0,0,10,0,,55,25,30,"fast but crash-prone, matured later",Race ban after Spa 2012 start crash,H,L
F1-classic,Pastor Maldonado,2011-2015,F1 World Championship career,95,1,1,1,0,,45,28,17,fast but wildly crash-prone,Spain 2012 win from pole; textbook high-Risk archetype,H,L
F1-classic,Kevin Magnussen,"2014-2020, 2022-2024",F1 World Championship career,185,0,1,1,0,,40,12,28,"uncompromising, ultra-hard defender",Race ban on penalty points in 2024; podium on debut,H,L
F1-classic,Daniil Kvyat,"2014-2017, 2019-2020",F1 World Championship career,110,0,0,3,0,,25,10,15,"fast but erratic, the Torpedo",Hit Vettel twice on lap 1 at Russia 2016,H,L
F1-classic,Yuki Tsunoda,2021-2025,F1 World Championship career,111,0,0,0,0,,20,9,11,"fiery, quick, error-prone early",,H,L
F1-classic,Takuma Sato,2002-2008,F1 World Championship career,90,0,0,1,0,,40,18,22,"all-out attacker, no attack no chance","Later 2x Indy 500 winner, 6 IndyCar wins",H,L
F1-classic,Mick Schumacher,2021-2022,F1 World Championship career,43,0,0,0,0,,8,5,3,"steady improver, costly crashes",Heavy crashes Jeddah and Monaco 2022; 2026 IndyCar rookie,H,L
F1-classic,Logan Sargeant,2023-2024,F1 World Championship career,36,0,0,0,0,,8,5,3,"struggled for pace, frequent crashes",Small sample,H,L
F1-classic,Jos Verstappen,1994-2003,F1 World Championship career,106,0,0,2,0,,50,15,35,quick but erratic,,H,L
F1-classic,Riccardo Patrese,1977-1993,F1 World Championship career,256,6,8,37,0,,145,30,115,"experienced, quick, dependable wingman",1992 runner-up; DNF total sourced (Jalopnik; includes DSQs),H,M
